yr,mon,d,forks
2020,11,6,17
2020,11,7,10
2020,11,8,3
2020,11,9,15
2020,11,10,3
2020,11,11,7
2020,11,12,18
2020,11,13,12
2020,11,14,12
2020,11,15,6
2020,11,16,12
2020,11,17,12
2020,11,18,10
2020,11,19,17
2020,11,20,17
2020,11,21,8
2020,11,22,10
2020,11,23,17
2020,11,24,12
2020,11,25,14
2020,11,26,19
2020,11,27,11
2020,11,28,8
2020,11,29,5
2020,11,30,9
2020,12,1,16
2020,12,2,19
2020,12,3,11
2020,12,4,9
2020,12,5,15
2020,12,6,4
2020,12,7,13
2020,12,8,17
2020,12,9,19
2020,12,10,19
2020,12,11,15
2020,12,12,12
2020,12,13,15
2020,12,14,7
2020,12,15,16
2020,12,16,21
2020,12,17,20
2020,12,18,12
2020,12,19,10
2020,12,20,10
2020,12,21,21
2020,12,22,20
2020,12,23,9
2020,12,24,14
2020,12,25,6
2020,12,26,3
2020,12,27,7
2020,12,28,12
2020,12,29,18
2020,12,30,13
2020,12,31,10
2021,1,1,8
2021,1,2,2
2021,1,3,13
2021,1,4,13
2021,1,5,14
2021,1,6,13
2021,1,7,16
2021,1,8,15
2021,1,9,13
2021,1,10,13
2021,1,11,17
2021,1,12,17
2021,1,13,9
2021,1,14,15
2021,1,15,14
2021,1,16,13
2021,1,17,5
2021,1,18,14
2021,1,19,19
2021,1,20,12
2021,1,21,19
2021,1,22,21
2021,1,23,24
2021,1,24,14
2021,1,25,36
2021,1,26,56
2021,1,27,32
2021,1,28,20
2021,1,29,24
2021,1,30,13
2021,1,31,13
2021,2,1,13
2021,2,2,22
2021,2,3,13
2021,2,4,12
2021,2,5,10
2021,2,6,20
2021,2,7,16
2021,2,8,11
2021,2,9,10
2021,2,10,9
2021,2,11,7
2021,2,12,9
2021,2,13,5
2021,2,14,12
2021,2,15,16
2021,2,16,8
2021,2,17,9
2021,2,18,21
2021,2,19,10
2021,2,20,13
2021,2,21,10
2021,2,22,6
2021,2,23,10
2021,2,24,11
2021,2,25,15
2021,2,26,13
2021,2,27,2
2021,2,28,9
2021,3,1,17
2021,3,2,9
2021,3,3,13
2021,3,4,10
2021,3,5,15
2021,3,6,12
2021,3,7,14
2021,3,8,14
2021,3,9,2
2021,3,10,2
2021,3,11,12
2021,3,12,10
2021,3,13,5
2021,3,14,4
2021,3,15,15
2021,3,16,15
2021,3,17,11
2021,3,18,15
2021,3,19,12
2021,3,20,8
2021,3,21,9
