yr,mon,d,stars
2022,3,8,7
2022,3,9,3
2022,3,10,5
2022,3,11,6
2022,3,12,1
2022,3,13,5
2022,3,14,4
2022,3,15,6
2022,3,16,12
2022,3,17,9
2022,3,18,6
2022,3,19,4
2022,3,20,4
2022,3,21,3
2022,3,22,8
2022,3,23,3
2022,3,24,5
2022,3,25,6
2022,3,26,2
2022,3,28,4
2022,3,29,3
2022,3,30,7
2022,3,31,5
2022,4,2,3
2022,4,3,3
2022,4,4,2
2022,4,5,3
2022,4,6,6
2022,4,7,1
2022,4,8,20
2022,4,9,2
2022,4,10,5
2022,4,11,6
2022,4,12,4
2022,4,13,2
2022,4,14,7
2022,4,15,5
2022,4,16,3
2022,4,17,1
2022,4,18,4
2022,4,19,1
2022,4,20,1
2022,4,21,4
2022,4,22,6
2022,4,23,6
2022,4,24,3
2022,4,25,11
2022,4,26,6
2022,4,27,16
2022,4,28,9
2022,4,29,11
2022,4,30,3
2022,5,1,2
2022,5,2,5
2022,5,3,5
2022,5,4,3
2022,5,5,4
2022,5,6,6
2022,5,7,2
2022,5,8,3
2022,5,9,8
2022,5,10,7
2022,5,11,6
2022,5,12,6
2022,5,13,9
2022,5,14,2
2022,5,15,2
2022,5,16,3
2022,5,17,4
2022,5,18,3
2022,5,19,6
2022,5,20,4
2022,5,21,3
2022,5,22,5
2022,5,23,4
2022,5,24,6
2022,5,25,2
2022,5,26,6
2022,5,27,6
2022,5,28,9
2022,5,29,7
2022,5,30,2
2022,5,31,5
2022,6,1,5
2022,6,2,1
2022,6,3,2
2022,6,4,13
2022,6,5,5
2022,6,6,13
2022,6,7,9
2022,6,8,6
2022,6,9,6
2022,6,10,9
2022,6,11,6
2022,6,12,6
2022,6,13,3
2022,6,14,4
2022,6,15,3
2022,6,16,6
2022,6,18,4
2022,6,19,2
2022,6,20,4
2022,6,21,3
2022,6,22,3
2022,6,23,5
2022,6,24,3
2022,6,25,2
2022,6,26,1
2022,6,27,8
2022,6,28,3
2022,6,29,4
2022,6,30,4
2022,7,1,10
2022,7,2,50
2022,7,3,33
2022,7,4,11
2022,7,5,8
2022,7,6,7
2022,7,7,4
2022,7,8,4
2022,7,9,2
2022,7,10,3
2022,7,11,6
2022,7,12,6
2022,7,13,6
2022,7,14,19
2022,7,15,5
2022,7,16,4
2022,7,17,5
2022,7,18,10
2022,7,19,5
2022,7,20,6
2022,7,21,7
2022,7,22,4
2022,7,23,3
2022,7,24,1
2022,7,25,4
2022,7,26,3
2022,7,27,8
2022,7,28,9
2022,7,29,5
2022,7,30,5
2022,7,31,2
2022,8,1,8
2022,8,2,8
2022,8,3,5
2022,8,4,5
2022,8,5,7
2022,8,6,2
2022,8,7,4
2022,8,8,6
2022,8,9,9
