yr,mon,d,forks
2021,5,21,5
2021,5,22,8
2021,5,23,7
2021,5,24,6
2021,5,25,3
2021,5,26,8
2021,5,27,5
2021,5,28,10
2021,5,29,5
2021,5,30,6
2021,5,31,7
2021,6,1,10
2021,6,2,7
2021,6,3,7
2021,6,4,6
2021,6,5,3
2021,6,6,3
2021,6,7,9
2021,6,8,8
2021,6,9,12
2021,6,10,5
2021,6,11,6
2021,6,12,2
2021,6,13,4
2021,6,14,4
2021,6,15,7
2021,6,16,7
2021,6,17,9
2021,6,18,3
2021,6,19,6
2021,6,20,5
2021,6,21,9
2021,6,22,8
2021,6,23,12
2021,6,24,3
2021,6,25,4
2021,6,26,10
2021,6,27,7
2021,6,28,9
2021,6,29,8
2021,6,30,5
2021,7,1,4
2021,7,2,6
2021,7,3,3
2021,7,4,3
2021,7,5,8
2021,7,6,12
2021,7,7,8
2021,7,8,5
2021,7,9,9
2021,7,10,6
2021,7,11,2
2021,7,12,6
2021,7,13,6
2021,7,14,11
2021,7,15,5
2021,7,16,8
2021,7,17,8
2021,7,18,8
2021,7,19,10
2021,7,20,6
2021,7,21,3
2021,7,22,6
2021,7,23,3
2021,7,24,5
2021,7,25,3
2021,7,26,11
2021,7,27,8
2021,7,28,9
2021,7,29,13
2021,7,30,5
2021,7,31,6
2021,8,1,9
2021,8,2,7
2021,8,3,9
2021,8,4,10
2021,8,5,13
2021,8,6,4
2021,8,7,9
2021,8,8,10
2021,8,9,13
2021,8,10,12
2021,8,11,4
2021,8,12,5
2021,8,13,4
2021,8,14,6
2021,8,15,7
2021,8,16,10
2021,8,17,10
2021,8,18,9
2021,8,19,9
2021,8,20,8
2021,8,21,6
2021,8,22,9
2021,8,23,5
2021,8,24,10
2021,8,28,3
2021,8,29,8
2021,8,30,7
2021,8,31,8
2021,9,1,10
2021,9,2,4
2021,9,3,8
2021,9,4,7
2021,9,5,3
2021,9,6,11
2021,9,7,4
2021,9,8,5
2021,9,9,13
2021,9,10,6
2021,9,11,3
2021,9,12,4
2021,9,13,6
2021,9,14,13
2021,9,15,4
2021,9,16,8
2021,9,17,10
2021,9,18,6
2021,9,19,4
2021,9,20,5
2021,9,21,2
2021,9,22,7
2021,9,23,7
2021,9,24,6
2021,9,25,6
2021,9,26,9
2021,9,27,4
2021,9,28,2
2021,9,29,6
2021,9,30,8
2021,10,1,2
2021,10,2,6
2021,10,3,5
2021,10,4,2
2021,10,5,2
2021,10,7,4
2021,10,9,5
2021,10,10,2
2021,10,11,5
2021,10,13,3
2021,10,14,6
2021,10,15,6
2021,10,16,2
2021,10,18,1
2021,10,19,2
2021,10,20,3
2021,10,21,5
2021,10,23,1
2021,10,30,2
2021,10,31,4
2021,11,1,3
2021,11,2,6
2021,11,3,4
2021,11,4,7
2021,11,5,4
2021,11,6,4
2021,11,7,6
2021,11,8,4
2021,11,9,3
2021,11,10,7
2021,11,11,5
2021,11,12,4
2021,11,13,3
2021,11,14,5
2021,11,15,4
2021,11,16,4
2021,11,17,8
2021,11,18,8
2021,11,19,8
2021,11,20,4
2021,11,21,7
2021,11,22,6
2021,11,23,7
2021,11,24,9
2021,11,25,3
2021,11,26,9
2021,11,27,2
2021,11,28,5
2021,11,29,8
2021,11,30,5
2021,12,1,7
2021,12,2,5
2021,12,3,10
2021,12,4,9
2021,12,5,8
2021,12,6,10
2021,12,7,11
2021,12,8,7
2021,12,9,10
2021,12,10,15
2021,12,11,3
2021,12,12,3
2021,12,13,9
2021,12,14,12
2021,12,15,8
2021,12,16,7
2021,12,17,4
2021,12,18,5
2021,12,19,5
2021,12,20,7
2021,12,21,10
2021,12,22,3
2021,12,23,6
2021,12,24,5
2021,12,25,2
2021,12,26,2
2021,12,27,3
2021,12,28,9
2021,12,29,11
2021,12,30,9
2021,12,31,6
2022,1,1,4
2022,1,2,5
2022,1,3,5
2022,1,4,2
2022,1,5,6
2022,1,6,6
2022,1,7,12
2022,1,8,3
2022,1,9,7
2022,1,10,7
2022,1,11,5
2022,1,12,10
2022,1,13,5
2022,1,14,3
2022,1,15,10
2022,1,16,8
2022,1,17,5
2022,1,18,5
2022,1,19,4
2022,1,20,6
2022,1,21,6
2022,1,22,7
2022,1,23,4
2022,1,24,5
2022,1,25,5
2022,1,26,6
2022,1,27,9
2022,1,28,10
2022,1,29,5
2022,1,30,8
2022,1,31,2
2022,2,1,2
2022,2,2,2
2022,2,3,2
2022,2,4,5
2022,2,5,2
2022,2,6,2
2022,2,7,7
2022,2,8,4
2022,2,9,8
2022,2,10,5
2022,2,11,10
2022,2,12,7
2022,2,13,3
2022,2,14,7
2022,2,15,5
2022,2,16,11
2022,2,17,10
2022,2,18,10
2022,2,19,5
2022,2,20,2
2022,2,21,5
2022,2,22,10
2022,2,23,8
2022,2,24,5
2022,2,25,5
2022,2,26,6
2022,2,27,1
2022,2,28,5
2022,3,1,13
2022,3,2,11
2022,3,3,5
2022,3,4,6
2022,3,5,7
2022,3,6,4
2022,3,7,6
2022,3,8,7
2022,3,9,10
2022,3,10,8
2022,3,11,3
2022,3,12,3
2022,3,13,9
2022,3,14,8
2022,3,15,8
2022,3,16,5
2022,3,17,4
2022,3,18,4
2022,3,19,9
2022,3,20,6
2022,3,21,7
2022,3,22,5
2022,3,23,7
2022,3,24,13
2022,3,25,17
2022,3,26,11
2022,3,27,6
2022,3,28,9
2022,3,29,6
2022,3,30,9
2022,3,31,8
2022,4,1,6
2022,4,2,3
2022,4,3,11
2022,4,4,3
2022,4,5,10
2022,4,6,9
2022,4,7,7
2022,4,8,11
2022,4,9,8
2022,4,10,4
2022,4,11,7
2022,4,12,5
2022,4,13,8
2022,4,14,6
2022,4,15,3
2022,4,16,4
2022,4,17,1
2022,4,18,4
2022,4,19,7
2022,4,20,5
2022,4,21,6
2022,4,22,7
2022,4,23,3
2022,4,24,7
2022,4,25,8
2022,4,26,7
2022,4,27,8
2022,4,28,4
2022,4,29,6
2022,4,30,6
2022,5,1,5
2022,5,2,6
2022,5,3,6
2022,5,4,11
2022,5,5,2
2022,5,6,1
2022,5,7,5
2022,5,8,8
2022,5,9,9
2022,5,10,10
2022,5,11,9
2022,5,12,4
2022,5,13,7
2022,5,14,8
2022,5,15,13
2022,5,16,8
2022,5,17,5
2022,5,18,7
2022,5,19,1
2022,5,20,7
2022,5,21,3
2022,5,22,2
2022,5,23,4
2022,5,24,8
2022,5,25,8
2022,5,26,2
2022,5,27,6
2022,5,28,3
2022,5,29,7
2022,5,30,11
2022,5,31,2
2022,6,1,5
2022,6,2,4
2022,6,3,4
2022,6,4,3
2022,6,5,6
2022,6,6,4
2022,6,7,3
2022,6,8,4
2022,6,9,4
2022,6,10,8
2022,6,11,3
2022,6,12,8
2022,6,13,8
2022,6,14,11
2022,6,15,9
2022,6,16,7
2022,6,17,2
2022,6,18,3
2022,6,19,8
2022,6,20,7
2022,6,21,11
2022,6,22,6
2022,6,23,5
2022,6,24,6
2022,6,25,3
2022,6,26,5
2022,6,27,9
2022,6,28,9
2022,6,29,7
2022,6,30,4
2022,7,1,9
2022,7,2,6
2022,7,3,6
2022,7,4,7
2022,7,5,4
2022,7,6,3
2022,7,7,2
2022,7,8,2
2022,7,9,4
2022,7,10,7
2022,7,11,3
2022,7,12,5
2022,7,13,3
2022,7,14,2
2022,7,15,6
2022,7,16,5
2022,7,17,4
2022,7,18,3
2022,7,19,4
2022,7,20,5
2022,7,21,7
2022,7,22,6
2022,7,23,4
2022,7,24,5
2022,7,25,6
2022,7,26,4
2022,7,27,5
2022,7,28,4
2022,7,29,5
2022,7,30,6
2022,7,31,1
2022,8,1,8
2022,8,2,6
2022,8,3,10
2022,8,4,3
2022,8,5,5
2022,8,6,2
2022,8,7,4
2022,8,8,6
2022,8,9,5
2022,8,10,5
2022,8,11,12
2022,8,12,5
2022,8,13,6
2022,8,14,5
2022,8,15,2
2022,8,16,6
2022,8,17,17
2022,8,18,2
2022,8,19,6
2022,8,20,2
2022,8,21,7
2022,8,22,7
2022,8,23,12
2022,8,24,7
2022,8,25,4
2022,8,26,3
2022,8,27,8
2022,8,28,4
2022,8,29,7
2022,8,30,4
2022,8,31,8
2022,9,1,4
2022,9,2,5
2022,9,3,7
2022,9,4,9
2022,9,5,8
2022,9,6,14
2022,9,7,5
2022,9,8,7
2022,9,9,5
2022,9,10,4
2022,9,11,5
2022,9,12,6
2022,9,13,7
2022,9,14,11
2022,9,15,7
2022,9,16,9
2022,9,17,1
2022,9,18,3
2022,9,19,6
2022,9,20,6
2022,9,21,2
2022,9,22,6
2022,9,23,3
2022,9,24,4
2022,9,25,3
2022,9,26,4
2022,9,27,5
2022,9,28,6
2022,9,29,7
2022,9,30,6
2022,10,1,3
2022,10,2,2
2022,10,3,1
2022,10,4,2
2022,10,5,4
2022,10,6,4
2022,10,7,4
2022,10,8,6
2022,10,9,7
2022,10,10,4
2022,10,11,8
2022,10,12,8
2022,10,13,3
2022,10,14,4
2022,10,15,5
2022,10,16,9
2022,10,17,9
2022,10,18,7
2022,10,19,4
2022,10,20,10
2022,10,21,1
2022,10,22,2
2022,10,24,8
2022,10,25,12
2022,10,26,8
2022,10,27,6
2022,10,28,4
2022,10,30,5
2022,11,1,3
2022,11,2,4
2022,11,3,6
2022,11,4,14
2022,11,5,5
2022,11,6,5
2022,11,7,6
2022,11,8,6
2022,11,9,5
2022,11,10,1
2022,11,11,7
2022,11,12,3
2022,11,14,3
2022,11,15,3
2022,11,16,8
2022,11,17,4
2022,11,18,6
2022,11,19,5
2022,11,20,6
2022,11,21,5
2022,11,22,6
2022,11,23,3
2022,11,24,6
2022,11,26,2
2022,11,27,5
2022,11,28,8
2022,11,29,4
2022,11,30,6
2022,12,1,6
2022,12,2,2
2022,12,3,2
2022,12,4,4
2022,12,5,4
2022,12,6,3
2022,12,7,3
2022,12,8,2
