yr,mon,d,forks
2020,12,22,6
2020,12,23,2
2020,12,24,3
2020,12,25,1
2020,12,26,1
2020,12,27,3
2020,12,28,4
2020,12,29,3
2020,12,30,5
2020,12,31,3
2021,1,1,2
2021,1,4,1
2021,1,5,1
2021,1,6,4
2021,1,7,5
2021,1,8,1
2021,1,9,4
2021,1,11,2
2021,1,12,1
2021,1,13,2
2021,1,15,4
2021,1,16,4
2021,1,17,3
2021,1,19,1
2021,1,20,4
2021,1,21,4
2021,1,22,3
2021,1,23,1
2021,1,24,1
2021,1,25,5
2021,1,26,1
2021,1,27,2
2021,1,28,3
2021,1,29,1
2021,1,30,3
2021,1,31,1
2021,2,1,2
2021,2,2,1
2021,2,3,3
2021,2,4,7
2021,2,5,3
2021,2,7,3
2021,2,8,3
2021,2,9,5
2021,2,10,6
2021,2,11,5
2021,2,12,1
2021,2,13,1
2021,2,14,3
2021,2,15,2
2021,2,16,2
2021,2,17,4
2021,2,18,5
2021,2,19,4
2021,2,20,3
2021,2,21,4
2021,2,22,3
2021,2,23,4
2021,2,24,3
2021,2,25,2
2021,2,26,4
2021,2,27,4
2021,2,28,4
2021,3,1,1
2021,3,2,3
2021,3,3,6
2021,3,4,4
2021,3,5,7
2021,3,6,2
2021,3,7,2
2021,3,8,2
2021,3,11,7
2021,3,12,3
2021,3,14,1
2021,3,15,7
2021,3,16,3
2021,3,17,3
2021,3,18,4
2021,3,19,1
2021,3,20,2
2021,3,21,2
2021,3,22,3
2021,3,23,4
2021,3,24,2
2021,3,25,3
2021,3,26,3
2021,3,27,3
2021,3,28,4
2021,3,29,2
2021,3,30,2
2021,3,31,1
2021,4,1,2
2021,4,2,1
2021,4,3,4
2021,4,4,3
2021,4,5,2
2021,4,6,2
2021,4,7,7
2021,4,8,4
2021,4,9,3
2021,4,10,1
2021,4,11,2
2021,4,12,6
2021,4,13,3
2021,4,14,4
2021,4,15,7
2021,4,16,4
2021,4,17,3
2021,4,18,4
2021,4,19,2
2021,4,20,5
2021,4,21,3
2021,4,22,6
2021,4,23,6
2021,4,25,4
2021,4,26,7
2021,4,27,3
2021,4,28,2
2021,4,29,1
2021,4,30,1
2021,5,1,1
2021,5,2,3
2021,5,3,4
2021,5,4,2
2021,5,5,8
2021,5,6,2
2021,5,7,3
2021,5,9,2
2021,5,12,4
2021,5,13,3
2021,5,14,2
2021,5,15,7
2021,5,16,2
2021,5,17,4
2021,5,18,5
2021,5,19,5
2021,5,21,9
2021,5,23,3
2021,5,24,3
2021,5,25,4
2021,5,26,3
2021,5,27,4
2021,5,28,4
2021,5,29,2
2021,5,30,2
2021,5,31,5
2021,6,1,2
2021,6,2,3
2021,6,3,4
2021,6,4,6
2021,6,5,2
2021,6,6,3
2021,6,7,4
2021,6,8,1
2021,6,9,7
2021,6,10,9
2021,6,11,3
2021,6,12,1
2021,6,13,4
2021,6,14,3
2021,6,15,7
2021,6,16,8
2021,6,17,3
2021,6,18,7
2021,6,19,1
2021,6,20,3
2021,6,21,2
2021,6,22,8
2021,6,23,6
2021,6,24,5
2021,6,25,2
2021,6,26,1
2021,6,28,6
2021,6,29,1
2021,6,30,2
2021,7,1,2
2021,7,2,3
2021,7,3,4
2021,7,5,2
2021,7,7,6
2021,7,8,2
2021,7,9,4
2021,7,10,1
2021,7,11,2
2021,7,12,3
2021,7,13,4
2021,7,14,4
2021,7,15,1
2021,7,16,2
2021,7,18,2
2021,7,19,1
2021,7,20,3
2021,7,21,3
2021,7,23,7
2021,7,24,2
2021,7,25,4
2021,7,26,2
2021,7,27,7
2021,7,28,4
2021,7,29,4
2021,7,30,5
2021,7,31,2
2021,8,1,1
2021,8,2,5
2021,8,3,4
2021,8,4,4
2021,8,5,4
2021,8,6,4
2021,8,7,5
2021,8,8,4
2021,8,9,1
2021,8,10,3
2021,8,11,6
2021,8,12,6
2021,8,13,5
2021,8,15,3
2021,8,16,3
2021,8,17,1
2021,8,18,2
2021,8,19,2
2021,8,20,4
