yr,mon,d,stars
2020,11,6,16
2020,11,7,10
2020,11,8,9
2020,11,9,19
2020,11,10,18
2020,11,11,9
2020,11,12,13
2020,11,13,12
2020,11,14,7
2020,11,15,10
2020,11,16,14
2020,11,17,16
2020,11,18,15
2020,11,19,18
2020,11,20,11
2020,11,21,9
2020,11,22,7
2020,11,23,14
2020,11,24,11
2020,11,25,15
2020,11,26,12
2020,11,27,24
2020,11,28,11
2020,11,29,7
2020,11,30,9
2020,12,1,18
2020,12,2,21
2020,12,3,25
2020,12,4,20
2020,12,5,10
2020,12,6,9
2020,12,7,16
2020,12,8,15
2020,12,9,23
2020,12,10,15
2020,12,11,14
2020,12,12,7
2020,12,13,6
2020,12,14,19
2020,12,15,10
2020,12,16,13
2020,12,17,10
2020,12,18,11
2020,12,19,8
2020,12,20,13
2020,12,21,9
2020,12,22,6
2020,12,23,18
2020,12,24,8
2020,12,25,4
2020,12,26,10
2020,12,27,10
2020,12,28,10
2020,12,29,16
2020,12,30,13
2020,12,31,11
2021,1,1,3
2021,1,2,4
2021,1,3,4
2021,1,4,17
2021,1,5,21
2021,1,6,22
2021,1,7,15
2021,1,8,13
2021,1,9,6
2021,1,10,6
2021,1,11,17
2021,1,12,17
2021,1,13,15
2021,1,14,19
2021,1,15,14
2021,1,16,6
2021,1,17,13
2021,1,18,22
2021,1,19,10
2021,1,20,12
2021,1,21,15
2021,1,22,15
2021,1,23,6
2021,1,24,8
2021,1,25,10
2021,1,26,10
2021,1,27,7
2021,1,28,16
2021,1,29,15
2021,1,30,12
2021,1,31,8
2021,2,1,11
2021,2,2,17
2021,2,3,9
2021,2,4,19
2021,2,5,17
2021,2,6,20
2021,2,7,14
2021,2,8,14
2021,2,9,17
2021,2,10,21
2021,2,11,17
2021,2,12,6
2021,2,13,10
2021,2,14,12
2021,2,15,10
2021,2,16,15
2021,2,17,18
2021,2,18,23
2021,2,19,19
2021,2,20,11
2021,2,21,12
2021,2,22,28
2021,2,23,21
2021,2,24,21
2021,2,25,11
2021,2,26,13
2021,2,27,10
2021,2,28,9
2021,3,1,12
2021,3,2,18
2021,3,3,20
2021,3,4,28
2021,3,5,22
2021,3,6,15
2021,3,7,15
2021,3,8,17
2021,3,9,6
2021,3,10,2
2021,3,11,15
2021,3,12,10
2021,3,13,14
2021,3,14,7
2021,3,15,13
2021,3,16,17
2021,3,17,19
2021,3,18,13
2021,3,19,11
2021,3,20,6
2021,3,21,9
2021,3,22,18
2021,3,23,14
2021,3,24,17
2021,3,25,22
2021,3,26,15
2021,3,27,15
2021,3,28,9
2021,3,29,11
2021,3,30,14
2021,3,31,9
2021,4,1,11
2021,4,2,11
2021,4,3,13
2021,4,4,4
2021,4,5,4
2021,4,6,14
2021,4,7,14
2021,4,8,15
2021,4,9,17
2021,4,10,18
2021,4,11,9
2021,4,12,8
2021,4,13,13
2021,4,14,18
2021,4,15,30
2021,4,16,9
2021,4,17,16
2021,4,18,10
2021,4,19,17
2021,4,20,12
2021,4,21,12
2021,4,22,16
2021,4,23,18
2021,4,24,14
2021,4,25,19
2021,4,26,13
2021,4,27,13
2021,4,28,13
2021,4,29,15
2021,4,30,9
2021,5,1,7
2021,5,2,3
2021,5,3,14
2021,5,4,16
2021,5,5,16
2021,5,6,13
2021,5,7,9
2021,5,9,2
2021,5,12,8
2021,5,13,17
2021,5,14,18
2021,5,15,6
2021,5,16,12
2021,5,17,14
2021,5,18,12
2021,5,19,23
2021,5,20,9
2021,5,21,17
2021,5,22,7
2021,5,23,11
2021,5,24,12
2021,5,25,14
2021,5,26,14
2021,5,27,10
2021,5,28,16
2021,5,29,9
2021,5,30,14
2021,5,31,13
2021,6,1,14
2021,6,2,17
2021,6,3,15
2021,6,4,9
2021,6,5,7
2021,6,6,8
2021,6,7,10
2021,6,8,131
2021,6,9,87
2021,6,10,136
2021,6,11,112
2021,6,12,15
2021,6,13,15
2021,6,14,17
2021,6,15,28
2021,6,16,24
2021,6,17,23
2021,6,18,19
2021,6,19,9
2021,6,20,8
2021,6,21,12
2021,6,22,19
2021,6,23,15
2021,6,24,20
2021,6,25,19
2021,6,26,6
2021,6,27,5
2021,6,28,15
2021,6,29,11
2021,6,30,24
2021,7,1,17
2021,7,2,17
2021,7,3,4
2021,7,4,12
2021,7,5,11
2021,7,6,11
2021,7,7,26
2021,7,8,17
2021,7,9,18
2021,7,10,8
2021,7,11,7
2021,7,12,13
2021,7,13,15
2021,7,14,10
2021,7,15,22
2021,7,16,11
2021,7,17,19
2021,7,18,8
2021,7,19,13
2021,7,20,14
2021,7,21,15
2021,7,22,13
2021,7,23,11
2021,7,24,13
2021,7,25,4
2021,7,26,12
2021,7,27,16
2021,7,28,71
2021,7,29,48
2021,7,30,29
2021,7,31,17
2021,8,1,8
2021,8,2,21
2021,8,3,18
2021,8,4,16
2021,8,5,13
2021,8,6,21
2021,8,7,13
2021,8,8,10
2021,8,9,10
2021,8,10,11
2021,8,11,14
2021,8,12,17
2021,8,13,116
2021,8,14,82
2021,8,15,10
2021,8,16,14
2021,8,17,16
2021,8,18,10
2021,8,19,19
2021,8,20,10
2021,8,21,7
2021,8,22,6
2021,8,23,9
2021,8,24,16
2021,8,28,8
2021,8,29,7
2021,8,30,8
2021,8,31,10
2021,9,1,18
2021,9,2,10
2021,9,3,13
2021,9,4,10
2021,9,5,16
2021,9,6,25
2021,9,7,19
2021,9,8,12
2021,9,9,22
2021,9,10,10
2021,9,11,9
2021,9,12,11
2021,9,13,16
2021,9,14,17
2021,9,15,16
2021,9,16,26
2021,9,17,12
2021,9,18,9
2021,9,19,12
2021,9,20,12
2021,9,21,9
2021,9,22,14
2021,9,23,13
2021,9,24,10
2021,9,25,9
2021,9,26,16
2021,9,27,8
2021,9,28,21
2021,9,29,15
2021,9,30,20
2021,10,1,116
2021,10,2,67
2021,10,3,8
2021,10,4,10
2021,10,5,6
2021,10,7,5
2021,10,8,7
2021,10,9,10
2021,10,10,4
2021,10,11,8
2021,10,12,5
2021,10,13,4
2021,10,14,1
2021,10,15,5
2021,10,16,3
2021,10,17,9
2021,10,18,5
2021,10,19,1
2021,10,20,5
2021,10,21,5
2021,10,22,3
2021,10,30,7
2021,10,31,12
2021,11,1,17
2021,11,2,14
2021,11,3,26
2021,11,4,13
2021,11,5,16
2021,11,6,11
2021,11,7,15
2021,11,8,18
2021,11,9,16
2021,11,10,13
2021,11,11,19
2021,11,12,21
2021,11,13,5
2021,11,14,10
2021,11,15,15
2021,11,16,22
2021,11,17,14
2021,11,18,13
2021,11,19,23
2021,11,20,9
2021,11,21,18
2021,11,22,9
2021,11,23,15
2021,11,24,18
2021,11,25,108
2021,11,26,71
2021,11,27,23
2021,11,28,26
2021,11,29,16
2021,11,30,20
2021,12,1,24
2021,12,2,17
2021,12,3,17
2021,12,4,12
2021,12,5,15
2021,12,6,20
2021,12,7,19
2021,12,8,13
2021,12,9,18
2021,12,10,26
2021,12,11,14
2021,12,12,8
2021,12,13,25
2021,12,14,17
2021,12,15,14
2021,12,16,15
2021,12,17,18
2021,12,18,8
2021,12,19,15
2021,12,20,14
2021,12,21,22
2021,12,22,20
2021,12,23,21
2021,12,24,22
2021,12,25,12
2021,12,26,12
2021,12,27,12
2021,12,28,16
2021,12,29,16
2021,12,30,14
2021,12,31,12
2022,1,1,9
2022,1,2,9
2022,1,3,13
2022,1,4,21
2022,1,5,16
2022,1,6,22
2022,1,7,12
2022,1,8,12
2022,1,9,12
2022,1,10,20
2022,1,11,18
2022,1,12,20
2022,1,13,14
2022,1,14,16
2022,1,15,13
2022,1,16,15
2022,1,17,14
2022,1,18,22
2022,1,19,16
2022,1,20,21
2022,1,21,19
2022,1,22,12
2022,1,23,10
2022,1,24,12
2022,1,25,24
2022,1,26,21
2022,1,27,25
2022,1,28,9
2022,1,29,11
2022,1,30,10
2022,1,31,13
2022,2,1,13
2022,2,2,4
2022,2,3,11
2022,2,4,12
2022,2,5,12
2022,2,6,12
2022,2,7,19
2022,2,8,13
2022,2,9,14
2022,2,10,18
2022,2,11,16
2022,2,12,5
2022,2,13,10
2022,2,14,9
2022,2,15,17
2022,2,16,15
2022,2,17,21
2022,2,18,15
2022,2,19,15
2022,2,20,12
2022,2,21,17
2022,2,22,9
2022,2,23,12
2022,2,24,14
2022,2,25,15
2022,2,26,5
2022,2,27,6
2022,2,28,10
2022,3,1,16
2022,3,2,13
2022,3,3,17
2022,3,4,17
2022,3,5,9
2022,3,6,12
2022,3,7,21
2022,3,8,17
2022,3,9,14
2022,3,10,15
2022,3,11,15
2022,3,12,16
2022,3,13,16
2022,3,14,15
2022,3,15,18
2022,3,16,21
2022,3,17,9
2022,3,18,15
2022,3,19,15
2022,3,20,5
2022,3,21,13
2022,3,22,15
2022,3,23,17
2022,3,24,18
2022,3,25,17
2022,3,26,8
2022,3,27,14
2022,3,28,13
2022,3,29,23
2022,3,30,22
2022,3,31,17
2022,4,1,23
2022,4,2,12
2022,4,3,11
2022,4,4,9
2022,4,5,24
2022,4,6,21
2022,4,7,25
2022,4,8,15
2022,4,9,12
2022,4,10,12
2022,4,11,16
2022,4,12,17
2022,4,13,18
2022,4,14,18
2022,4,15,17
2022,4,16,14
2022,4,17,14
2022,4,18,16
2022,4,19,17
2022,4,20,19
2022,4,21,20
2022,4,22,12
2022,4,23,11
2022,4,24,20
2022,4,25,20
2022,4,26,19
2022,4,27,17
2022,4,28,21
2022,4,29,21
2022,4,30,22
2022,5,1,9
2022,5,2,17
2022,5,3,25
2022,5,4,22
2022,5,5,24
2022,5,6,17
2022,5,7,17
2022,5,8,10
2022,5,9,24
2022,5,10,10
2022,5,11,11
2022,5,12,13
2022,5,13,17
2022,5,14,11
2022,5,15,13
2022,5,16,12
2022,5,17,20
2022,5,18,19
2022,5,19,15
2022,5,20,27
2022,5,21,18
2022,5,22,11
2022,5,23,13
2022,5,24,15
2022,5,25,13
2022,5,26,16
2022,5,27,15
2022,5,28,8
2022,5,29,5
2022,5,30,12
2022,5,31,16
2022,6,1,11
2022,6,2,16
2022,6,3,26
2022,6,4,12
2022,6,5,15
2022,6,6,15
2022,6,7,23
2022,6,8,14
2022,6,9,11
2022,6,10,23
2022,6,11,23
2022,6,12,13
2022,6,13,16
2022,6,14,6
2022,6,15,13
2022,6,16,8
2022,6,17,10
2022,6,18,11
2022,6,19,16
2022,6,20,15
2022,6,21,8
2022,6,22,14
2022,6,23,12
2022,6,24,20
2022,6,25,12
2022,6,26,9
2022,6,27,10
2022,6,28,14
2022,6,29,16
2022,6,30,14
2022,7,1,25
2022,7,2,16
2022,7,3,14
2022,7,4,14
2022,7,5,21
2022,7,6,17
2022,7,7,10
2022,7,8,19
2022,7,9,4
2022,7,10,9
2022,7,11,15
2022,7,12,14
2022,7,13,13
2022,7,14,21
2022,7,15,17
2022,7,16,10
2022,7,17,11
2022,7,18,14
2022,7,19,9
2022,7,20,14
2022,7,21,16
2022,7,22,11
2022,7,23,14
2022,7,24,12
2022,7,25,17
2022,7,26,11
2022,7,27,11
2022,7,28,15
2022,7,29,18
2022,7,30,9
2022,7,31,14
2022,8,1,9
2022,8,2,12
2022,8,3,16
2022,8,4,15
2022,8,5,15
2022,8,6,6
2022,8,7,8
2022,8,8,15
2022,8,9,13
2022,8,10,13
2022,8,11,16
2022,8,12,9
2022,8,13,7
2022,8,14,10
2022,8,15,10
2022,8,16,11
2022,8,17,12
2022,8,18,11
2022,8,19,7
2022,8,20,13
2022,8,21,8
2022,8,22,14
2022,8,23,16
2022,8,24,15
2022,8,25,15
2022,8,26,11
2022,8,27,10
2022,8,28,12
2022,8,29,22
2022,8,30,19
2022,8,31,11
2022,9,1,9
2022,9,2,11
2022,9,3,9
2022,9,4,5
2022,9,5,12
2022,9,6,11
2022,9,7,22
2022,9,8,19
2022,9,9,14
2022,9,10,8
2022,9,11,10
2022,9,12,12
2022,9,13,17
2022,9,14,17
2022,9,15,16
2022,9,16,18
2022,9,17,12
2022,9,18,13
2022,9,19,12
2022,9,20,11
2022,9,21,15
2022,9,22,20
2022,9,23,24
2022,9,24,14
2022,9,25,10
2022,9,26,19
2022,9,27,13
2022,9,28,16
2022,9,29,13
2022,9,30,16
2022,10,1,4
2022,10,2,8
2022,10,3,8
2022,10,4,6
2022,10,5,16
2022,10,6,13
2022,10,7,18
2022,10,8,70
2022,10,9,46
2022,10,10,12
2022,10,11,16
2022,10,12,12
2022,10,13,21
2022,10,14,19
2022,10,15,8
2022,10,16,7
2022,10,17,19
2022,10,18,19
2022,10,19,25
2022,10,20,11
2022,10,21,10
2022,10,22,14
2022,10,23,11
2022,10,24,9
2022,10,25,16
2022,10,26,18
2022,10,27,15
2022,10,28,20
2022,10,29,55
2022,10,30,41
2022,10,31,21
2022,11,1,15
2022,11,2,13
2022,11,3,16
2022,11,4,9
2022,11,5,6
2022,11,6,7
2022,11,7,15
2022,11,8,13
2022,11,9,15
2022,11,10,16
2022,11,11,19
2022,11,12,13
2022,11,13,5
2022,11,14,10
2022,11,15,19
2022,11,16,19
2022,11,17,18
2022,11,18,10
2022,11,19,10
2022,11,20,12
2022,11,21,15
2022,11,22,14
2022,11,23,8
2022,11,24,25
2022,11,25,13
2022,11,26,9
2022,11,27,4
2022,11,28,3
2022,11,29,15
2022,11,30,15
2022,12,1,44
2022,12,2,29
2022,12,3,6
2022,12,4,10
2022,12,5,9
2022,12,6,7
2022,12,7,12
2022,12,8,11
2022,12,9,16
2022,12,10,12
2022,12,11,9
2022,12,12,14
2022,12,13,11
2022,12,14,17
2022,12,15,8
2022,12,16,7
2022,12,17,8
2022,12,18,8
2022,12,19,12
2022,12,20,8
2022,12,21,9
2022,12,22,15
2022,12,23,17
2022,12,24,5
2022,12,25,8
2022,12,26,14
2022,12,27,7
2022,12,28,11
2022,12,29,9
2022,12,30,7
2022,12,31,7
2023,1,1,6
2023,1,2,10
2023,1,3,11
2023,1,4,8
2023,1,5,9
2023,1,6,11
2023,1,7,10
2023,1,8,8
2023,1,9,13
2023,1,10,12
2023,1,11,19
2023,1,12,16
2023,1,13,10
2023,1,14,11
2023,1,15,11
2023,1,16,13
2023,1,17,9
2023,1,18,12
2023,1,19,8
2023,1,20,7
2023,1,21,11
2023,1,22,9
2023,1,23,12
2023,1,24,13
2023,1,25,11
2023,1,26,12
2023,1,27,6
2023,1,28,9
2023,1,29,8
2023,1,30,14
2023,1,31,29
2023,2,1,16
2023,2,2,12
2023,2,3,16
2023,2,4,9
2023,2,5,7
2023,2,6,19
2023,2,7,11
2023,2,8,21
2023,2,9,9
2023,2,10,13
2023,2,11,17
2023,2,12,11
2023,2,13,8
2023,2,14,11
2023,2,15,16
2023,2,16,16
2023,2,17,15
2023,2,18,10
2023,2,19,12
2023,2,20,21
2023,2,21,16
2023,2,22,17
2023,2,23,11
2023,2,24,14
2023,2,25,6
2023,2,26,4
2023,2,27,9
2023,2,28,19
2023,3,1,20
2023,3,2,27
2023,3,3,13
2023,3,4,13
2023,3,5,11
2023,3,6,16
2023,3,7,14
2023,3,8,19
2023,3,9,18
2023,3,10,16
2023,3,11,8
2023,3,12,6
2023,3,13,14
2023,3,14,27
2023,3,15,11
2023,3,16,19
2023,3,17,14
2023,3,18,12
2023,3,19,13
2023,3,20,22
2023,3,21,13
2023,3,22,13
2023,3,23,14
2023,3,24,14
2023,3,25,11
2023,3,26,10
2023,3,27,12
2023,3,28,13
2023,3,29,20
2023,3,30,14
2023,3,31,20
2023,4,1,12
2023,4,2,11
2023,4,3,13
