yr,mon,d,stars
2020,11,6,24
2020,11,7,12
2020,11,8,13
2020,11,9,24
2020,11,10,16
2020,11,11,16
2020,11,12,23
2020,11,13,20
2020,11,14,11
2020,11,15,13
2020,11,16,12
2020,11,17,22
2020,11,18,21
2020,11,19,22
2020,11,20,23
2020,11,21,10
2020,11,22,9
2020,11,23,20
2020,11,24,22
2020,11,25,23
2020,11,26,21
2020,11,27,25
2020,11,28,10
2020,11,29,11
2020,11,30,15
2020,12,1,13
2020,12,2,16
2020,12,3,21
2020,12,4,15
2020,12,5,12
2020,12,6,13
2020,12,7,26
2020,12,8,17
2020,12,9,22
2020,12,10,20
2020,12,11,14
2020,12,12,8
2020,12,13,13
2020,12,14,22
2020,12,15,24
2020,12,16,18
2020,12,17,38
2020,12,18,26
2020,12,19,9
2020,12,20,23
2020,12,21,19
2020,12,22,25
2020,12,23,17
2020,12,24,22
2020,12,25,23
2020,12,26,5
2020,12,27,14
2020,12,28,31
2020,12,29,29
2020,12,30,24
2020,12,31,27
2021,1,1,16
2021,1,2,5
2021,1,3,9
2021,1,4,22
2021,1,5,21
2021,1,6,13
2021,1,7,15
2021,1,8,20
2021,1,9,13
2021,1,10,16
2021,1,11,27
2021,1,12,19
2021,1,13,16
2021,1,14,16
2021,1,15,24
2021,1,16,14
2021,1,17,13
2021,1,18,24
2021,1,19,27
2021,1,20,36
2021,1,21,24
2021,1,22,33
2021,1,23,23
2021,1,24,22
2021,1,25,26
2021,1,26,30
2021,1,27,25
2021,1,28,33
2021,1,29,23
2021,1,30,12
2021,1,31,9
2021,2,1,22
2021,2,2,36
2021,2,3,27
2021,2,4,18
2021,2,5,18
2021,2,6,10
2021,2,7,11
2021,2,8,16
2021,2,9,18
2021,2,10,12
2021,2,11,9
2021,2,12,9
2021,2,13,10
2021,2,14,10
2021,2,15,11
2021,2,16,11
2021,2,17,13
2021,2,18,27
2021,2,19,22
2021,2,20,24
2021,2,21,16
2021,2,22,17
2021,2,23,22
2021,2,24,16
2021,2,25,15
2021,2,26,24
2021,2,27,6
2021,2,28,6
2021,3,1,16
2021,3,2,27
2021,3,3,24
2021,3,4,16
2021,3,5,23
2021,3,6,15
2021,3,7,12
2021,3,8,16
2021,3,9,6
2021,3,10,1
2021,3,11,15
2021,3,12,19
2021,3,13,9
2021,3,14,15
2021,3,15,15
2021,3,16,22
2021,3,17,18
2021,3,18,25
2021,3,19,21
2021,3,20,10
2021,3,21,8
2021,3,22,17
2021,3,23,16
2021,3,24,19
2021,3,25,15
2021,3,26,16
2021,3,27,6
2021,3,28,8
2021,3,29,15
2021,3,30,21
2021,3,31,19
2021,4,1,20
2021,4,2,21
2021,4,3,10
2021,4,4,13
2021,4,5,16
2021,4,6,13
2021,4,7,20
2021,4,8,18
2021,4,9,20
2021,4,10,13
2021,4,11,9
2021,4,12,20
2021,4,13,14
2021,4,14,28
2021,4,15,26
2021,4,16,19
2021,4,17,9
2021,4,18,13
2021,4,19,27
2021,4,20,19
2021,4,21,30
2021,4,22,18
2021,4,23,15
2021,4,24,19
2021,4,25,8
2021,4,26,18
2021,4,27,23
2021,4,28,19
2021,4,29,21
2021,4,30,11
2021,5,1,9
2021,5,2,13
2021,5,3,5
2021,5,4,14
2021,5,5,11
2021,5,6,9
2021,5,7,8
2021,5,9,3
2021,5,12,22
2021,5,13,23
2021,5,14,13
2021,5,15,14
2021,5,16,13
2021,5,17,16
2021,5,18,13
2021,5,19,18
2021,5,20,16
2021,5,21,21
2021,5,22,8
2021,5,23,14
2021,5,24,18
2021,5,25,25
2021,5,26,23
2021,5,27,12
2021,5,28,19
2021,5,29,17
2021,5,30,10
2021,5,31,21
2021,6,1,19
2021,6,2,18
2021,6,3,16
2021,6,4,14
2021,6,5,19
2021,6,6,14
2021,6,7,18
2021,6,8,15
2021,6,9,16
2021,6,10,26
2021,6,11,16
2021,6,12,10
2021,6,13,4
2021,6,14,12
2021,6,15,21
2021,6,16,15
2021,6,17,29
2021,6,18,13
2021,6,19,10
2021,6,20,9
2021,6,21,23
2021,6,22,27
2021,6,23,21
2021,6,24,16
2021,6,25,16
2021,6,26,7
2021,6,27,14
2021,6,28,25
2021,6,29,22
2021,6,30,19
2021,7,1,21
2021,7,2,17
2021,7,3,8
2021,7,4,19
2021,7,5,14
2021,7,6,19
2021,7,7,20
2021,7,8,7
2021,7,9,15
2021,7,10,5
2021,7,11,10
2021,7,12,11
2021,7,13,16
2021,7,14,22
2021,7,15,16
2021,7,16,13
2021,7,17,12
2021,7,18,10
2021,7,19,17
2021,7,20,16
2021,7,21,16
2021,7,22,22
2021,7,23,16
2021,7,24,9
2021,7,25,12
2021,7,26,12
2021,7,27,13
2021,7,28,18
2021,7,29,14
2021,7,30,15
2021,7,31,9
2021,8,1,9
2021,8,2,11
2021,8,3,23
2021,8,4,16
2021,8,5,16
2021,8,6,16
2021,8,7,9
2021,8,8,12
2021,8,9,14
2021,8,10,14
2021,8,11,15
2021,8,12,15
2021,8,13,21
2021,8,14,10
2021,8,15,5
2021,8,16,15
2021,8,17,15
2021,8,18,23
2021,8,19,16
2021,8,20,8
2021,8,21,9
2021,8,22,11
2021,8,23,22
2021,8,24,25
2021,8,28,9
2021,8,29,7
2021,8,30,13
2021,8,31,18
2021,9,1,18
2021,9,2,13
2021,9,3,20
2021,9,4,11
2021,9,5,9
2021,9,6,16
2021,9,7,21
2021,9,8,17
2021,9,9,7
2021,9,10,27
2021,9,11,17
2021,9,12,6
2021,9,13,18
2021,9,14,13
2021,9,15,12
2021,9,16,17
2021,9,17,13
2021,9,18,15
2021,9,19,7
2021,9,20,11
2021,9,21,10
2021,9,22,15
2021,9,23,18
2021,9,24,22
2021,9,25,19
2021,9,26,22
2021,9,27,11
2021,9,28,13
2021,9,29,18
2021,9,30,15
2021,10,1,14
2021,10,2,7
2021,10,3,8
2021,10,4,9
2021,10,5,9
2021,10,7,2
2021,10,8,2
2021,10,9,8
2021,10,10,13
2021,10,11,4
2021,10,12,5
2021,10,13,7
2021,10,14,6
2021,10,15,11
2021,10,16,5
2021,10,17,6
2021,10,18,6
2021,10,19,7
2021,10,20,6
2021,10,21,3
2021,10,22,1
2021,10,29,2
2021,10,30,12
2021,10,31,7
2021,11,1,11
2021,11,2,14
2021,11,3,16
2021,11,4,12
2021,11,5,12
2021,11,6,11
2021,11,7,11
2021,11,8,17
2021,11,9,28
2021,11,10,17
2021,11,11,29
2021,11,12,59
2021,11,13,29
2021,11,14,18
2021,11,15,13
2021,11,16,13
2021,11,17,17
2021,11,18,25
2021,11,19,16
2021,11,20,6
2021,11,21,12
2021,11,22,26
2021,11,23,5
2021,11,24,22
2021,11,25,19
2021,11,26,18
2021,11,27,15
2021,11,28,12
2021,11,29,12
2021,11,30,13
2021,12,1,11
2021,12,2,10
2021,12,3,17
2021,12,4,18
2021,12,5,9
2021,12,6,29
2021,12,7,26
2021,12,8,23
2021,12,9,16
2021,12,10,28
2021,12,11,23
2021,12,12,26
2021,12,13,31
2021,12,14,36
2021,12,15,29
2021,12,16,29
2021,12,17,24
2021,12,18,24
2021,12,19,14
2021,12,20,28
2021,12,21,23
2021,12,22,21
2021,12,23,17
2021,12,24,18
2021,12,25,7
2021,12,26,11
2021,12,27,24
2021,12,28,26
2021,12,29,23
2021,12,30,16
2021,12,31,23
2022,1,1,13
2022,1,2,13
2022,1,3,13
2022,1,4,17
2022,1,5,18
2022,1,6,14
2022,1,7,17
2022,1,8,14
2022,1,9,10
2022,1,10,13
2022,1,11,9
2022,1,12,20
2022,1,13,16
2022,1,14,24
2022,1,15,15
2022,1,16,9
2022,1,17,18
2022,1,18,17
2022,1,19,16
2022,1,20,22
2022,1,21,17
2022,1,22,8
2022,1,23,7
2022,1,24,16
2022,1,25,16
2022,1,26,13
2022,1,27,16
2022,1,28,20
2022,1,29,11
2022,1,30,17
2022,1,31,10
2022,2,1,14
2022,2,2,10
2022,2,3,13
2022,2,4,8
2022,2,5,7
2022,2,6,9
2022,2,7,19
2022,2,8,11
2022,2,9,15
2022,2,10,15
2022,2,11,22
2022,2,12,9
2022,2,13,8
2022,2,14,19
2022,2,15,18
2022,2,16,14
2022,2,17,20
2022,2,18,14
2022,2,19,15
2022,2,20,10
2022,2,21,22
2022,2,22,9
2022,2,23,17
2022,2,24,16
2022,2,25,13
2022,2,26,7
2022,2,27,13
2022,2,28,15
2022,3,1,20
2022,3,2,11
2022,3,3,17
2022,3,4,26
2022,3,5,17
2022,3,6,14
2022,3,7,14
2022,3,8,14
2022,3,9,12
2022,3,10,14
2022,3,11,17
2022,3,12,19
2022,3,13,10
2022,3,14,20
2022,3,15,5
2022,3,16,15
2022,3,17,14
2022,3,18,26
2022,3,19,9
2022,3,20,12
2022,3,21,12
2022,3,22,11
2022,3,23,10
2022,3,24,18
2022,3,25,12
2022,3,26,17
2022,3,27,15
2022,3,28,21
2022,3,29,17
2022,3,30,15
2022,3,31,16
2022,4,1,13
2022,4,2,14
2022,4,3,15
2022,4,4,11
2022,4,5,15
2022,4,6,20
2022,4,7,16
2022,4,8,18
2022,4,9,10
2022,4,10,15
2022,4,11,9
2022,4,12,8
2022,4,13,15
2022,4,14,9
2022,4,15,10
2022,4,16,13
2022,4,17,14
2022,4,18,16
2022,4,19,21
2022,4,20,16
2022,4,21,22
2022,4,22,14
2022,4,23,9
2022,4,24,20
2022,4,25,12
2022,4,26,22
2022,4,27,18
2022,4,28,10
2022,4,29,17
2022,4,30,14
2022,5,1,9
2022,5,2,13
2022,5,3,21
2022,5,4,11
2022,5,5,16
2022,5,6,13
2022,5,7,17
2022,5,8,17
2022,5,9,10
2022,5,10,24
2022,5,11,14
2022,5,12,15
2022,5,13,20
2022,5,14,12
2022,5,15,13
2022,5,16,10
2022,5,17,21
2022,5,18,12
2022,5,19,12
2022,5,20,13
2022,5,21,13
2022,5,22,11
2022,5,23,13
2022,5,24,16
2022,5,25,13
2022,5,26,20
2022,5,27,17
2022,5,28,8
2022,5,29,13
2022,5,30,13
2022,5,31,17
2022,6,1,15
2022,6,2,15
2022,6,3,16
2022,6,4,12
2022,6,5,13
2022,6,6,18
2022,6,7,12
2022,6,8,19
2022,6,9,29
2022,6,10,14
2022,6,11,17
2022,6,12,15
2022,6,13,12
2022,6,14,16
2022,6,15,20
2022,6,16,22
2022,6,17,12
2022,6,18,14
2022,6,19,13
2022,6,20,20
2022,6,21,16
2022,6,22,18
2022,6,23,16
2022,6,24,16
2022,6,25,8
2022,6,26,2
2022,6,27,16
2022,6,28,22
2022,6,29,13
2022,6,30,12
2022,7,1,19
2022,7,2,9
2022,7,3,8
2022,7,4,17
2022,7,5,13
2022,7,6,7
2022,7,7,8
2022,7,8,8
2022,7,9,7
2022,7,10,12
2022,7,11,17
2022,7,12,18
2022,7,13,17
2022,7,14,21
2022,7,15,21
2022,7,16,9
2022,7,17,3
2022,7,18,11
2022,7,19,9
2022,7,20,17
2022,7,21,11
2022,7,22,17
2022,7,23,13
2022,7,24,10
2022,7,25,14
2022,7,26,19
2022,7,27,14
2022,7,28,21
2022,7,29,18
2022,7,30,10
2022,7,31,8
2022,8,1,12
2022,8,2,21
2022,8,3,18
2022,8,4,24
2022,8,5,21
2022,8,6,9
2022,8,7,15
2022,8,8,18
2022,8,9,13
2022,8,10,14
2022,8,11,10
2022,8,12,14
2022,8,13,10
2022,8,14,12
2022,8,15,12
2022,8,16,20
2022,8,17,25
2022,8,18,15
2022,8,19,13
2022,8,20,6
2022,8,21,9
2022,8,22,15
2022,8,23,22
2022,8,24,19
2022,8,25,16
2022,8,26,20
2022,8,27,12
2022,8,28,9
2022,8,29,14
2022,8,30,21
2022,8,31,17
2022,9,1,10
2022,9,2,17
2022,9,3,11
2022,9,4,12
2022,9,5,15
2022,9,6,17
2022,9,7,19
2022,9,8,11
2022,9,9,12
2022,9,10,6
2022,9,11,9
2022,9,12,11
2022,9,13,15
2022,9,14,21
2022,9,15,16
2022,9,16,17
2022,9,17,7
2022,9,18,13
2022,9,19,10
2022,9,20,19
2022,9,21,17
2022,9,22,15
2022,9,23,9
2022,9,24,15
2022,9,25,8
2022,9,26,11
2022,9,27,21
2022,9,28,18
2022,9,29,13
2022,9,30,17
2022,10,1,9
2022,10,2,11
2022,10,3,12
2022,10,4,6
2022,10,5,10
2022,10,6,5
2022,10,7,11
2022,10,8,15
2022,10,9,14
2022,10,10,15
2022,10,11,21
2022,10,12,15
2022,10,13,16
2022,10,14,16
2022,10,15,11
2022,10,16,5
2022,10,17,17
2022,10,18,9
2022,10,19,18
2022,10,20,10
2022,10,21,12
2022,10,22,9
2022,10,23,5
2022,10,24,8
2022,10,25,9
2022,10,26,13
2022,10,27,18
2022,10,28,18
2022,10,29,18
2022,10,30,20
2022,10,31,14
2022,11,1,23
2022,11,2,18
2022,11,3,12
2022,11,4,15
2022,11,5,8
2022,11,6,9
2022,11,7,18
2022,11,8,13
2022,11,9,17
2022,11,10,21
2022,11,11,7
2022,11,12,20
2022,11,13,8
2022,11,14,18
2022,11,15,13
2022,11,16,8
2022,11,17,8
2022,11,18,21
2022,11,19,11
2022,11,20,13
2022,11,21,17
2022,11,22,8
2022,11,23,16
2022,11,24,19
2022,11,25,16
2022,11,26,6
2022,11,27,8
2022,11,28,15
2022,11,29,14
2022,11,30,20
2022,12,1,17
2022,12,2,19
2022,12,3,9
2022,12,4,11
2022,12,5,16
2022,12,6,14
2022,12,7,15
2022,12,8,8
2022,12,9,15
2022,12,10,10
2022,12,11,7
2022,12,12,15
2022,12,13,5
2022,12,14,14
2022,12,15,10
2022,12,16,9
2022,12,17,10
2022,12,18,4
2022,12,19,5
2022,12,20,7
2022,12,21,2
2022,12,22,8
2022,12,23,6
2022,12,24,8
2022,12,25,8
2022,12,26,7
2022,12,27,12
2022,12,28,12
2022,12,29,12
2022,12,30,13
2022,12,31,4
2023,1,1,8
2023,1,2,4
2023,1,3,10
2023,1,4,22
2023,1,5,11
2023,1,6,20
2023,1,7,9
2023,1,8,8
2023,1,9,8
2023,1,10,10
2023,1,11,14
2023,1,12,15
2023,1,13,9
2023,1,14,7
2023,1,15,9
2023,1,16,8
2023,1,17,11
2023,1,18,11
2023,1,19,11
2023,1,20,4
2023,1,21,6
2023,1,22,4
2023,1,23,7
2023,1,24,3
2023,1,25,9
2023,1,26,8
2023,1,27,9
2023,1,28,10
2023,1,29,17
2023,1,30,10
2023,1,31,25
2023,2,1,13
2023,2,2,12
2023,2,3,12
2023,2,4,9
2023,2,5,8
2023,2,6,11
2023,2,7,16
2023,2,8,13
2023,2,9,18
2023,2,10,14
2023,2,11,13
2023,2,12,6
2023,2,13,18
2023,2,14,17
2023,2,15,22
2023,2,16,20
2023,2,17,13
2023,2,18,12
2023,2,19,6
2023,2,20,18
2023,2,21,19
2023,2,22,28
2023,2,23,13
2023,2,24,15
2023,2,25,8
2023,2,26,13
2023,2,27,8
2023,2,28,23
2023,3,1,20
2023,3,2,13
2023,3,3,10
2023,3,4,11
2023,3,5,6
2023,3,6,10
2023,3,7,9
2023,3,8,14
2023,3,9,14
2023,3,10,8
2023,3,11,11
2023,3,12,10
2023,3,13,8
2023,3,14,13
2023,3,15,17
2023,3,16,14
2023,3,17,13
2023,3,18,7
2023,3,19,11
2023,3,20,13
2023,3,21,8
2023,3,22,21
2023,3,23,15
2023,3,24,17
2023,3,25,8
2023,3,26,10
2023,3,27,7
2023,3,28,10
2023,3,29,11
2023,3,30,15
2023,3,31,16
2023,4,1,7
2023,4,2,14
2023,4,3,12
2023,4,4,15
2023,4,5,12
2023,4,6,11
2023,4,7,17
2023,4,8,9
2023,4,9,6
2023,4,10,17
2023,4,11,11
2023,4,12,15
2023,4,13,16
2023,4,14,16
2023,4,15,8
2023,4,16,10
2023,4,17,8
2023,4,18,19
2023,4,19,13
2023,4,20,18
2023,4,21,17
2023,4,22,11
2023,4,23,19
2023,4,24,15
2023,4,25,13
